feature,coef,coef_abs,signo
cat__temporada_verano,-0.17663976150863425,0.17663976150863425,-
cat__consultante_localidad_grand bourg,0.17648365370098493,0.17648365370098493,+
cat__localidad_Alderetes,0.1761414753108082,0.1761414753108082,+
cat__consultante_provincia_santa cruz,0.17585828856147262,0.17585828856147262,+
cat__consultante_localidad_azul,-0.1756986716650156,0.1756986716650156,-
cat__localidad_Azul,-0.1756986716650156,0.1756986716650156,-
"cat__origen_institucion - servicio local, municipio san miguel",-0.17546615232639645,0.17546615232639645,-
cat__consultante_provincia_jujuy,-0.1752887904761848,0.1752887904761848,-
cat__consultante_tipo_,0.17394860034088955,0.17394860034088955,+
cat__localidad_Capitán Bermúdez,-0.17324337389500002,0.17324337389500002,-
cat__localidad_Lujan,-0.1728189440778733,0.1728189440778733,-
"cat__origen_institucion - direccion de generos, municipalidad de lujan",-0.1728189440778733,0.1728189440778733,-
cat__temporada_primavera,-0.17262230213549865,0.17262230213549865,-
cat__consultante_provincia_corrientes,-0.17250037581221836,0.17250037581221836,-
cat__consultante_provincia_buenos aires,-0.17129499552099275,0.17129499552099275,-
cat__consultante_localidad_villa la florida,-0.17005608760013377,0.17005608760013377,-
cat__localidad_Partido Malvinas Argentinas,-0.16953850644873222,0.16953850644873222,-
cat__localidad_Almirante Brown,-0.1691457810451457,0.1691457810451457,-
cat__consultante_localidad_mar del plata,-0.16790221733284158,0.16790221733284158,-
cat__localidad_Ushuaia,0.16748927150952467,0.16748927150952467,+
cat__consultante_localidad_ro grande,-0.16743589676870455,0.16743589676870455,-
cat__localidad_General Alvear,-0.1673350354875369,0.1673350354875369,-
cat__localidad_Don Torcuato,0.16668750027054297,0.16668750027054297,+
cat__consultante_localidad_zapala,-0.16572476173185852,0.16572476173185852,-
cat__localidad_Zapala,-0.16572476173185852,0.16572476173185852,-
cat__localidad_Lanús Oeste,-0.16474265020176876,0.16474265020176876,-
cat__consultante_localidad_lomas del mirador,-0.1640220555729711,0.1640220555729711,-
cat__origen_institucion - escuela de adultos 726 lomas de zamora,-0.1633179605618404,0.1633179605618404,-
cat__origen_institucion - oficina de violencia domestica de tucuman,-0.1625196051089126,0.1625196051089126,-
cat__localidad_Posadas,0.16131283172118754,0.16131283172118754,+
cat__localidad_Trancas,0.16124083798549432,0.16124083798549432,+
cat__localidad_Tigre,-0.16103392681310624,0.16103392681310624,-
cat__localidad_La Plata,0.15904904693521552,0.15904904693521552,+
cat__consultante_localidad_lans este,-0.15887411961154013,0.15887411961154013,-
cat__consultante_localidad_temperley,0.157053176921255,0.157053176921255,+
cat__localidad_Temperley,0.157053176921255,0.157053176921255,+
cat__consultante_localidad_ezeiza,0.1569907594860537,0.1569907594860537,+
cat__consultante_localidad_ramos meja,0.15625540575494698,0.15625540575494698,+
cat__consultante_genero_hombre,0.15566259515677486,0.15566259515677486,+
cat__localidad_Clorinda,0.1547923791700292,0.1547923791700292,+
cat__consultante_localidad_olivos,0.15419274834976743,0.15419274834976743,+
cat__localidad_General Güemes,0.15378624598914167,0.15378624598914167,+
cat__consultante_localidad_esquel,0.15284180050980975,0.15284180050980975,+
cat__consultante_localidad_rivadavia,0.1525670482944934,0.1525670482944934,+
cat__consultante_localidad_bella vista,-0.15195412631320135,0.15195412631320135,-
cat__localidad_RIO NEGRO,0.15167148750129458,0.15167148750129458,+
cat__localidad_Ramos Mejía,-0.1514542361221036,0.1514542361221036,-
cat__localidad_BUENOS AIRES,0.15143573173905034,0.15143573173905034,+
cat__localidad_Ezeiza,0.1512159006101035,0.1512159006101035,+
cat__consultante_localidad_jardn amrica,-0.1508634800966664,0.1508634800966664,-
cat__localidad_Dos de Mayo,-0.1508634800966664,0.1508634800966664,-
cat__consultante_localidad_william c. morris,-0.15009502136927783,0.15009502136927783,-
cat__consultante_como_conocio_la_linea_Por publicidad en internet,0.1499440069735589,0.1499440069735589,+
cat__provincia_Tucumán,0.14922038834343956,0.14922038834343956,+
num__anio,0.14921369188842273,0.14921369188842273,+
cat__consultante_como_conocio_la_linea_Derivado de otro organismo,-0.14875694624243885,0.14875694624243885,-
cat__origen_institucion - telefonia argentina,-0.14673348231205538,0.14673348231205538,-
cat__localidad_Bariloche,-0.14673348231205538,0.14673348231205538,-
cat__consultante_localidad_capilla del monte,-0.14522578154653815,0.14522578154653815,-
cat__consultante_localidad_san antonio,-0.14432188928117787,0.14432188928117787,-
cat__consultante_localidad_ro tercero,0.14413657043420322,0.14413657043420322,+
cat__localidad_Rawson,0.14391218084705415,0.14391218084705415,+
cat__consultante_localidad_rawson,0.14391218084705415,0.14391218084705415,+
cat__localidad_Villa Crespo,-0.14328260293968745,0.14328260293968745,-
cat__consultante_localidad_leandro n. alem,-0.14311031745859865,0.14311031745859865,-
cat__consultante_localidad_villa centenario,-0.14301094246257692,0.14301094246257692,-
cat__localidad_Villa Centenario,-0.14301094246257692,0.14301094246257692,-
cat__consultante_localidad_tartagal,-0.1425771999368296,0.1425771999368296,-
cat__localidad_Parana,0.14241084975449522,0.14241084975449522,+
cat__localidad_Berisso,0.14073494335957615,0.14073494335957615,+
cat__localidad_Dolores,0.14073429464972917,0.14073429464972917,+
cat__consultante_localidad_dolores,0.14073429464972917,0.14073429464972917,+
cat__localidad_buenos aires,-0.14040823354451715,0.14040823354451715,-
cat__localidad_rawson,0.14023460191487375,0.14023460191487375,+
cat__consultante_como_conocio_la_linea_LLAMADA EQUIVOCADA,0.14018359644410158,0.14018359644410158,+
