feature,coef,coef_abs,signo
cat__consultante_localidad_rawson,0.143912180213683,0.143912180213683,+
cat__localidad_Rawson,0.143912180213683,0.143912180213683,+
cat__localidad_Villa Crespo,-0.14328260498504022,0.14328260498504022,-
cat__consultante_localidad_leandro n. alem,-0.14311031954475412,0.14311031954475412,-
cat__consultante_localidad_villa centenario,-0.1430109435634952,0.1430109435634952,-
cat__localidad_Villa Centenario,-0.1430109435634952,0.1430109435634952,-
cat__consultante_localidad_tartagal,-0.14257720324554055,0.14257720324554055,-
cat__localidad_Parana,0.14241085055090694,0.14241085055090694,+
cat__localidad_Berisso,0.14073494610030576,0.14073494610030576,+
cat__consultante_localidad_dolores,0.14073429445432556,0.14073429445432556,+
cat__localidad_Dolores,0.14073429445432556,0.14073429445432556,+
cat__localidad_buenos aires,-0.14040823488241383,0.14040823488241383,-
cat__localidad_rawson,0.14023460490308176,0.14023460490308176,+
cat__consultante_como_conocio_la_linea_LLAMADA EQUIVOCADA,0.14018359881376255,0.14018359881376255,+
cat__localidad_La Boca,0.1399697405735701,0.1399697405735701,+
cat__consultante_provincia_misiones,-0.13779969138209594,0.13779969138209594,-
cat__localidad_Las Heras,-0.13770117197530013,0.13770117197530013,-
cat__consultante_localidad_san fernando del valle de catamarca,-0.13658761280124826,0.13658761280124826,-
cat__consultante_localidad_capital,0.13566037851256013,0.13566037851256013,+
cat__consultante_localidad_jos c. paz,-0.13561409951763242,0.13561409951763242,-
cat__consultante_como_conocio_la_linea_no se llegó a hacer una entrevista,0.13495192725344773,0.13495192725344773,+
cat__localidad_Mendoza,0.13479568619597898,0.13479568619597898,+
cat__localidad_Laguna Paiva,0.1345836707474524,0.1345836707474524,+
num__trimestre,-0.13450990684639236,0.13450990684639236,-
cat__localidad_San Carlos,-0.1334044314384695,0.1334044314384695,-
"cat__consultante_localidad_capitn sarmiento, buenos aires",-0.13299799083334402,0.13299799083334402,-
cat__provincia_Tierra del Fuego,0.13293070765977014,0.13293070765977014,+
cat__localidad_Paso de los Libres,0.13196346329691666,0.13196346329691666,+
cat__consultante_localidad_san martn,0.13187194295615884,0.13187194295615884,+
cat__consultante_localidad_berazategui,-0.13182097935506532,0.13182097935506532,-
num__mes_cos,0.13174071303917684,0.13174071303917684,+
cat__localidad_Balnearia,-0.13116816888876073,0.13116816888876073,-
cat__consultante_localidad_campo gallo,-0.13090687735489565,0.13090687735489565,-
cat__via_ingreso_telefono institucional,0.1308699769099706,0.1308699769099706,+
cat__dependencia_alta_Otra,0.1308699769099706,0.1308699769099706,+
cat__consultante_localidad_maip,-0.13072869349011337,0.13072869349011337,-
cat__dependencia_alta_PNR,-0.13072869349011337,0.13072869349011337,-
cat__localidad_Gandara,-0.13059238325531916,0.13059238325531916,-
cat__consultante_localidad_gandara,-0.13059238325531916,0.13059238325531916,-
cat__consultante_localidad_santa fe de la vera cruz,0.12972157215201718,0.12972157215201718,+
cat__provincia_Ciudad Autónoma de Buenos Aires,0.12952312693098897,0.12952312693098897,+
cat__consultante_nacionalidad_bolivia,0.12906162345928726,0.12906162345928726,+
cat__consultante_localidad_zarate,0.12862345958175303,0.12862345958175303,+
cat__consultante_localidad_merlo,0.12847519071797256,0.12847519071797256,+
cat__consultante_localidad_mercedes,-0.1281895154770237,0.1281895154770237,-
cat__consultante_localidad_rafael castillo,0.12807063472946642,0.12807063472946642,+
cat__localidad_Rafael Castillo,0.12807063472946642,0.12807063472946642,+
cat__localidad_Wilde,0.12799924044276753,0.12799924044276753,+
num__mes,0.1273420853518175,0.1273420853518175,+
cat__consultante_localidad_lans oeste,-0.12716010345574472,0.12716010345574472,-
cat__consultante_como_conocio_la_linea_sin datos,0.12663124048590121,0.12663124048590121,+
cat__consultante_localidad_glvez,-0.1251215525685865,0.1251215525685865,-
cat__localidad_Neuquen,0.12496068433126098,0.12496068433126098,+
cat__consultante_localidad_altos de san lorenzo,-0.12474950250662237,0.12474950250662237,-
cat__localidad_Altos de San Lorenzo,-0.12474950250662237,0.12474950250662237,-
cat__localidad_La Paz,0.12465399283704892,0.12465399283704892,+
cat__localidad_San Juan,-0.12464440121643089,0.12464440121643089,-
cat__consultante_localidad_jujuy,0.12460856729626864,0.12460856729626864,+
cat__localidad_Rosario de la Frontera,0.12409207144020058,0.12409207144020058,+
cat__consultante_localidad_baradero,-0.12390717045050963,0.12390717045050963,-
cat__localidad_NS/NC,-0.12355819422094651,0.12355819422094651,-
cat__consultante_como_conocio_la_linea_Línea 145,0.1230311626842709,0.1230311626842709,+
cat__consultante_localidad_santa rosa,0.12195759970519461,0.12195759970519461,+
cat__localidad_Ciudad Perico,-0.12180797945835277,0.12180797945835277,-
cat__localidad_Capilla del Monte,0.12084756402280264,0.12084756402280264,+
cat__localidad_Necochea,0.11995488756907206,0.11995488756907206,+
cat__localidad_Jachal,-0.11934647974743429,0.11934647974743429,-
cat__localidad_Eduardo Castex,-0.11929126616579097,0.11929126616579097,-
cat__localidad_San Fernando del Valle de Catamarca,-0.11909387417453277,0.11909387417453277,-
cat__localidad_San Vicente,0.11844827723690131,0.11844827723690131,+
cat__localidad_Loma Hermosa,-0.11838870726028293,0.11838870726028293,-
cat__consultante_localidad_den funes,-0.11740027128117642,0.11740027128117642,-
cat__consultante_localidad_cauelas,-0.1170322431965079,0.1170322431965079,-
cat__localidad_Rio Negro,-0.1160618286304046,0.1160618286304046,-
cat__localidad_Ingenio La Esperanza,-0.11601538418680288,0.11601538418680288,-
cat__localidad_Los Polvorines,0.1152742684583226,0.1152742684583226,+
cat__consultante_localidad_virrey del pino,0.11522661789307616,0.11522661789307616,+
cat__via_ingreso_por seguimiento,0.11512298216602083,0.11512298216602083,+
cat__localidad_Puerto Esperanza,0.1148919031069381,0.1148919031069381,+
cat__localidad_Vicuña Mackenna,0.11484085487288682,0.11484085487288682,+
cat__localidad_Rio Gallegos,0.11470448734481707,0.11470448734481707,+
cat__localidad_José León Suárez,0.11470034261310336,0.11470034261310336,+
cat__localidad_Coronel Suárez,0.11437578829397628,0.11437578829397628,+
cat__localidad_Puerto General San Martín,0.11427472012055659,0.11427472012055659,+
cat__localidad_Villa de Mayo,0.11348101965851441,0.11348101965851441,+
cat__consultante_genero_transgenero,-0.11325911375629392,0.11325911375629392,-
cat__localidad_Tinogasta,0.11304295676696947,0.11304295676696947,+
cat__consultante_tipo_consultante - victima directa,-0.11301765814052933,0.11301765814052933,-
cat__localidad_San Salvador de Jujuy,0.11299044749171168,0.11299044749171168,+
cat__consultante_como_conocio_la_linea_Folletos,0.11274631331583844,0.11274631331583844,+
cat__consultante_genero_mujer trans - travesti,-0.11237939032882736,0.11237939032882736,-
cat__localidad_Villa Luzuriaga,0.11205434829670875,0.11205434829670875,+
cat__consultante_nacionalidad_peru,0.1118722727166365,0.1118722727166365,+
cat__consultante_localidad_misiones,-0.1116980681267887,0.1116980681267887,-
cat__localidad_MIsiones,-0.1116980681267887,0.1116980681267887,-
cat__localidad_Puerto General San Martin,-0.11137670683068174,0.11137670683068174,-
cat__localidad_Florencio Varela,-0.11119262888718484,0.11119262888718484,-
cat__localidad_Misiones,0.11117241248965849,0.11117241248965849,+
cat__consultante_provincia_salta,0.11068106049583175,0.11068106049583175,+
cat__localidad_Monte Grande,0.11047727072458101,0.11047727072458101,+
cat__localidad_Pico Truncado,-0.1101106661078315,0.1101106661078315,-
cat__consultante_localidad_pico truncado,-0.1101106661078315,0.1101106661078315,-
cat__origen_institucion - ministerio de trabajo de la nacion,-0.10935167560698779,0.10935167560698779,-
cat__localidad_tres de febrero,-0.10784576525975659,0.10784576525975659,-
cat__localidad_Juan Bautista Alberdi,-0.10741061387867216,0.10741061387867216,-
cat__consultante_localidad_juan bautista alberdi,-0.10741061387867216,0.10741061387867216,-
cat__localidad_Los Troncos del Talar,-0.10705613852252797,0.10705613852252797,-
cat__consultante_localidad_los troncos del talar,-0.10705613852252797,0.10705613852252797,-
cat__localidad_Gobernador Virasoro,-0.10698943723591052,0.10698943723591052,-
cat__localidad_Resistencia,-0.10685273640487915,0.10685273640487915,-
cat__consultante_localidad_comodoro rivadavia,-0.10670514972425263,0.10670514972425263,-
cat__dependencia_alta_Línea 145,-0.10660399072948067,0.10660399072948067,-
cat__localidad_Villa Fiorito,-0.10658923951143917,0.10658923951143917,-
cat__consultante_localidad_campana,0.10611296175712857,0.10611296175712857,+
cat__origen_institucion - 145,0.10579034575041574,0.10579034575041574,+
cat__consultante_localidad_rauch,-0.10476916127576802,0.10476916127576802,-
cat__localidad_Rauch,-0.10476916127576802,0.10476916127576802,-
cat__localidad_San Nicolás,0.10459658618908467,0.10459658618908467,+
cat__localidad_Eldorado,-0.10431908630290491,0.10431908630290491,-
cat__consultante_localidad_eldorado,-0.10431908630290491,0.10431908630290491,-
cat__localidad_San Cristóbal,0.10394827261363755,0.10394827261363755,+
cat__localidad_Mariano Acosta,-0.10369955132082703,0.10369955132082703,-
cat__consultante_localidad_pontevedra,-0.10294475866980793,0.10294475866980793,-
cat__consultante_genero_travesti,0.10271420889885874,0.10271420889885874,+
cat__localidad_Apóstoles,0.10268937034280604,0.10268937034280604,+
cat__consultante_localidad_apstoles,0.10268937034280604,0.10268937034280604,+
cat__localidad_Oliva,-0.10258788871261555,0.10258788871261555,-
cat__consultante_localidad_pampa blanca,-0.10247002784511189,0.10247002784511189,-
cat__localidad_Ricardone,-0.1024145232502217,0.1024145232502217,-
cat__localidad_Río Muerto,-0.10185103740072683,0.10185103740072683,-
cat__consultante_localidad_sierra de los padres,0.1016986472229793,0.1016986472229793,+
cat__localidad_Esquina,0.10149971033850844,0.10149971033850844,+
cat__localidad_Belén de Escobar,0.10122462000962044,0.10122462000962044,+
cat__consultante_localidad_beln de escobar,0.10122462000962044,0.10122462000962044,+
cat__consultante_como_conocio_la_linea_no refiere,-0.10094571747003182,0.10094571747003182,-
cat__consultante_localidad_henderson,0.10083679588892773,0.10083679588892773,+
cat__localidad_Henderson,0.10083679588892773,0.10083679588892773,+
cat__consultante_localidad_chascoms,-0.10069993663165734,0.10069993663165734,-
cat__localidad_MENDOZA,0.10061310244318046,0.10061310244318046,+
cat__localidad_Libertador General San Martín,0.10041033883547518,0.10041033883547518,+
